タイプID,タイプ名,思考の軸,優位脳,極性,キャラ名(記入),自然モチーフ(記入),LINE表示用短縮名(記入),一人称・口調メモ(記入),テーマカラー(記入),定義ファイル(参照),備考
IL+,個性的な理論派,前頭葉(頭脳・未来),左脳,+,カゼマ（男）／カザネ（女）,風,風,僕・私／早口で説明過多・理路整然,若草色～ミントグリーン（風）／差し色=淡い水色,characters/03-kazema/,喋らせたら止まらない論客｜論客・伝達型（エヴァンジェリスト）
IR+,マイペースな自信家,前頭葉(頭脳・未来),右脳,+,ヒカル（男）／ヒカリ（女）,光,光,僕・私／テンション高めで人懐っこい,やわらかい黄～クリーム（光）／差し色=淡いオレンジ,characters/01-hikaru/,ひらめきが降ってくる人｜アイデア創出型（イノベーター）
IR-,移り気で繊細なアイデアマン,前頭葉(頭脳・未来),右脳,-,ツクモ（男）／ツクヨ（女）,月,月,私（わたし）／寡黙・低音で淡々,深い藍～紺（夜空）／差し色=銀・淡い水色の光,characters/02-tsukuyo/,一言で核心を突く深淵｜戦略・本質追求型（参謀）※既存は本質志向で"移り気"は弱め
IL-,堅実な完璧主義者,前頭葉(頭脳・未来),左脳,-,キリヤ（男）／キリハ（女）,霧,霧,私（わたし）／慎重で抑制的,くすんだグレー～モーブ（霧）／差し色=淡いブルーグレー,characters/04-kiriya/,沈黙の戦略参謀｜計画・リスク管理型（戦略参謀）
EL+,率直なハニカミ屋,扁桃体(感情・過去),左脳,+,アサヒ（男）／ヒナタ（女）,朝陽,朝陽,僕・私／温かく面倒見が良い,あたたかいオレンジ～桃色（朝陽）／差し色=やわらかい黄金色,characters/11-hinata/,教えることが生きがいの世話焼き｜育成・世話焼き型（メンター）※既存は教え好きの世話焼き寄り
ER+,情熱的なドリーマー,扁桃体(感情・過去),右脳,+,ニジオ（男）／ニジカ（女）,虹,虹,僕・私／明るく人懐っこい,明るいプラチナ＋虹色のニュアンス／差し色=七色のパステル,characters/09-nijika/,チームに彩りを添える共感の塊｜ムードメーカー・共感型（調整役）
EL-,熟慮と気遣いのサポーター,扁桃体(感情・過去),左脳,-,ミナト（男）／コハク（女）,湖,湖,僕・わたし／穏やかで聞き上手,静かな深い藍緑～青（湖面）／差し色=翡翠色の淡い光,characters/12-kohaku/,静かに本音を引き出す聞き役｜傾聴・調和型（カウンセラー）
ER-,しみじみ味わう人情家,扁桃体(感情・過去),右脳,-,ツユマ（男）／ツユハ（女）,露,露,僕・わたし／控えめで丁寧,透明感のある淡い水色～シルバー（朝露）／差し色=淡いミントの光,characters/10-tsuyuha/,誰より細かく気配りする観察者｜気配り・観察型（サポーター）
PL+,実直で率直な努力家,小脳(体・今),左脳,+,タカネ（男）／ミネカ（女）,山（高嶺）,山,私／熱く・さっぱり面倒見が良い・即断即決,深緑～濃いカーキ（山並み）／差し色=岩肌のようなグレー,characters/07-takane/,面倒見と勢いで引っ張る現場の牽引役｜即断実行・牽引型（現場の旗振り役）
PR+,一本気なパイオニア,小脳(体・今),右脳,+,ホムラ（男）／ホノカ（女）,炎,炎,俺・あたし／熱量高めで勢い任せ,鮮やかな赤～オレンジ（炎）／差し色=明るいイエロー,characters/05-homura/,勢いで突っ走る現場の火種｜行動・推進型（実行リーダー）
PL-,臨機応変な合理派,小脳(体・今),左脳,-,イワオ（男）／イワミ（女）,岩（磐）,岩,自分・私／控えめで淡々・有事に的確,アースカラーの茶～グレージュ（岩）／差し色=苔のような落ち着いた緑,characters/08-iwao/,縁の下を支える運用の神｜臨機応変・トラブル対応型（縁の下の守り手）
PR-,後手を打つ行動派,小脳(体・今),右脳,-,タキト（男）／タキミ（女）,滝,滝,俺・私／寡黙で淡々,深い青緑～ターコイズ（滝壺）／差し色=白い飛沫の明るい水色,characters/06-takito/,黙々と打ち込む職人｜職人・探求型（スペシャリスト）※既存は黙々職人で"後手を打つ"は弱め
